14-DigitPINNumber,StreetNumber,Dir.,StreetName,Type,Sq.Ft.,Ward,CommunityArea,ZoningClassification,TIFDistrict,Location
17-08-250-021-0000,937,W,GRAND,AVE,"1,393",27,WEST TOWN,M2-2,NOT IN TIF,"937 W GRAND AVE
CHICAGO, IL
(41.891177, -87.651495)"
17-20-103-007-0000,1241,W,ROOSEVELT,RD,"2,050",25,NEAR WEST SIDE,PD 896,Roosevelt/Racine (ABLA),"1241 W ROOSEVELT RD
CHICAGO, IL
(41.86695, -87.658315)"
17-27-409-072-0000,2929,S,ELLIS,AVE,"114,302",4,DOUGLAS,PD 1133,Bronzeville,"2929 S ELLIS AVE
CHICAGO, IL
(41.835739, -87.611242)"
25-21-411-022-0000,11606,S,WENTWORTH,AVE,"3,105",34,WEST PULLMAN,RS-3,NOT IN TIF,"11606 S WENTWORTH AVE
CHICAGO, IL
(41.683185, -87.627634)"
20-09-329-037-0000,620,W,55TH,ST,"3,091",20,NEW CITY,RS-3,47th/Halsted,"620 W 55TH ST
CHICAGO, IL
(41.794417, -87.640831)"
20-22-228-027-0000,6614,S,CHAMPLAIN,AVE,"3,024",20,WOODLAWN,RT-4,West Woodlawn,"6614 S CHAMPLAIN AVE
CHICAGO, IL
(41.774356, -87.609438)"
16-14-401-001-0000,607,S,ST LOUIS,AVE,"1,787",24,EAST GARFIELD PARK,M1-3,Midwest,"607 S ST LOUIS AVE
CHICAGO, IL
(41.873282, -87.713198)"
20-10-110-023-0000,4836,S,CALUMET,AVE,"6,856",3,GRAND BOULEVARD,RM-5,47th/King,"4836 S CALUMET AVE
CHICAGO, IL
(41.806428, -87.618068)"
20-17-431-010-0000,6231,S,GREEN,ST,"3,024",16,ENGLEWOOD,PD 1227,Englewood Mall,"6231 S GREEN ST
CHICAGO, IL
(41.780626, -87.646217)"
16-11-113-021-0000,623,N,AVERS,AVE,"2,906",27,HUMBOLDT PARK,RS-3,Chicago/Central Park,"623 N AVERS AVE
CHICAGO, IL
(41.89251, -87.72234)"
16-14-426-011-0000,3527,W,GRENSHAW,ST,"3,114",24,NORTH LAWNDALE,PD 793,NOT IN TIF,"3527 W GRENSHAW ST
CHICAGO, IL
(41.867286, -87.713972)"
25-21-213-009-0000,229,W,112TH,,"4,150",34,ROSELAND,RS-3,107th/Halsted,"229 W 112TH
CHICAGO, IL
(41.690705, -87.628549)"
21-32-101-024-0000,8260,S,BURLEY,AVE,"2,963",7,SOUTH CHICAGO,B3-1,South Chicago,"8260 S BURLEY AVE
CHICAGO, IL
(41.744982, -87.545497)"
20-21-105-042-0000,516,W,64TH,ST,"2,344",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"516 W 64TH ST
CHICAGO, IL
(41.778019, -87.638182)"
17-27-404-018-0000,2929,S,ELLIS,AVE,"39,235",4,DOUGLAS,PD 1133,Bronzeville,"2929 S ELLIS AVE
CHICAGO, IL
(41.835739, -87.611242)"
20-08-219-019-0000,854,W,50,PL,"3,036",20,NEW CITY,RS-3,NOT IN TIF,"854 W 50 PL
CHICAGO, IL
(41.802503, -87.646904)"
20-11-100-017-0000,4741,S,COTTAGE GROVE,AVE,"5,002",4,KENWOOD,RM-5,43rd/Cottage Grove,"4741 S COTTAGE GROVE AVE
CHICAGO, IL
(41.808508, -87.606537)"
16-23-417-035-0000,1960,S,TRUMBULL,AVE,"3,022",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1960 S TRUMBULL AVE
CHICAGO, IL
(41.853902, -87.711191)"
17-34-308-029-0000,3666,S,INDIANA,AVE,"2,964",3,DOUGLAS,C1-3,Bronzeville,"3666 S INDIANA AVE
CHICAGO, IL
(41.827881, -87.62169)"
20-14-316-026-0000,1000,E,63RD,ST,"22,584",20,WOODLAWN,PD 723,Woodlawn,"1000 E 63RD ST
CHICAGO, IL
(41.780463, -87.600584)"
16-23-214-016-0000,3533,W,DOUGLAS,BLVD,"5,812",24,NORTH LAWNDALE,RT-4,Midwest,"3533 W DOUGLAS BLVD
CHICAGO, IL
(41.862422, -87.714083)"
20-16-315-096-0000,6113,S,HALSTED,,972,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"6113 S HALSTED
CHICAGO, IL
(41.782982, -87.644861)"
16-13-331-015-0000,1143,S,MOZART,ST,"4,196",28,NORTH LAWNDALE,RT-4,Midwest,"1143 S MOZART ST
CHICAGO, IL
(41.866983, -87.697136)"
16-16-102-016-0000,5244,W,MONROE,ST,"4,102",29,AUSTIN,RS-3,Harrison/Central,"5244 W MONROE ST
CHICAGO, IL
(41.879383, -87.756185)"
20-17-401-012-0000,5915,S,MAY,ST,"3,180",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5915 S MAY ST
CHICAGO, IL
(41.786434, -87.653465)"
16-15-211-013-0000,4029,W,WILCOX,ST,"3,040",28,WEST GARFIELD PARK,RT-4,NOT IN TIF,"4029 W WILCOX ST
CHICAGO, IL
(41.878867, -87.726759)"
20-10-309-009-0000,5323,S,WABASH,AVE,"4,019",3,WASHINGTON PARK,RT-4,47th/State,"5323 S WABASH AVE
CHICAGO, IL
(41.797409, -87.624138)"
20-16-300-040-0000,740,W,60TH,ST,"3,809",16,ENGLEWOOD,B2-2,Englewood Neighborhood,"740 W 60TH ST
CHICAGO, IL
(41.78506, -87.644)"
20-18-225-022-0000,5830,S,WOLCOTT,AVE,"2,977",15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5830 S WOLCOTT AVE
CHICAGO, IL
(41.787427, -87.671678)"
20-03-308-011-0000,4439,S,MICHIGAN,AVE,"7,873",3,GRAND BOULEVARD,RM-5,47th/King,"4439 S MICHIGAN AVE
CHICAGO, IL
(41.814124, -87.622951)"
20-08-107-028-0000,4743,S,ELIZABETH,ST,"2,983",20,NEW CITY,RS-3,NOT IN TIF,"4743 S ELIZABETH ST
CHICAGO, IL
(41.80721, -87.656402)"
20-07-409-037-0000,5232,S,WOLCOTT,AVE,"3,121",16,NEW CITY,RS-3,NOT IN TIF,"5232 S WOLCOTT AVE
CHICAGO, IL
(41.798493, -87.672004)"
16-10-102-001-0000,725,N,CICERO,AVE,"4,534",28,AUSTIN,C1-1,Northwest Industrial Corridor,"725 N CICERO AVE
CHICAGO, IL
(41.893865, -87.745768)"
25-15-120-070-0000,10616,S,EDBROOKE,AVE,"3,685",9,ROSELAND,RS-3,NOT IN TIF,"10616 S EDBROOKE AVE
CHICAGO, IL
(41.7012, -87.619675)"
20-22-416-019-0000,6974,S,ANTHONY,AVE,"7,016",6,GREATER GRAND CROSSING,RS-3,67th/Wentworth,"6974 S ANTHONY AVE
CHICAGO, IL
(41.76786, -87.61149)"
20-17-423-073-0000,807,W,61ST,ST,894,16,ENGLEWOOD,B2-2,Englewood Neighborhood,"807 W 61ST ST
CHICAGO, IL
(41.783386, -87.645229)"
20-17-423-035-0000,6146,S,HALSTED,ST,"3,114",16,ENGLEWOOD,PD 1227,Englewood Mall,"6146 S HALSTED ST
CHICAGO, IL
(41.781895, -87.644935)"
20-17-400-028-0000,5959,S,RACINE,AVE,"3,837",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5959 S RACINE AVE
CHICAGO, IL
(41.785196, -87.654666)"
16-09-228-007-0000,4941,W,FERDINAND,ST,"2,950",37,AUSTIN,RS-3,NOT IN TIF,"4941 W FERDINAND ST
CHICAGO, IL
(41.889527, -87.749695)"
20-20-331-006-0000,7015,S,ELIZABETH,,"3,108",6,WEST ENGLEWOOD,RS-3,NOT IN TIF,"7015 S ELIZABETH
CHICAGO, IL
(41.766616, -87.655356)"
20-16-409-023-0000,328,W,61ST,ST,"3,536",20,ENGLEWOOD,RS-3,Englewood Neighborhood,"328 W 61ST ST
CHICAGO, IL
(41.783592, -87.633879)"
16-23-202-030-0000,3526,W,13TH,PL,"5,603",24,NORTH LAWNDALE,RT-4,Midwest,"3526 W 13TH PL
CHICAGO, IL
(41.864115, -87.714021)"
20-03-116-027-0000,4148,S,CALUMET,AVE,"3,244",3,GRAND BOULEVARD,RM-5,47th/King,"4148 S CALUMET AVE
CHICAGO, IL
(41.819315, -87.618416)"
16-11-126-019-0000,418,N,HARDING,AVE,"3,009",37,HUMBOLDT PARK,RS-3,Northwest Industrial Corridor,"418 N HARDING AVE
CHICAGO, IL
(41.888642, -87.724647)"
20-06-406-010-0000,4325,S,MARSHFIELD,AVE,"3,029",15,NEW CITY,RS-3,NOT IN TIF,"4325 S MARSHFIELD AVE
CHICAGO, IL
(41.815144, -87.666348)"
20-23-218-008-0000,1428,E,65TH,ST,"4,933",20,WOODLAWN,RM-5,Woodlawn,"1428 E 65TH ST
CHICAGO, IL
(41.776943, -87.590018)"
25-15-212-048-0000,10410,S,CORLISS,AVE,"6,267",9,PULLMAN,RS-3,North Pullman,"10410 S CORLISS AVE
CHICAGO, IL
(41.705125, -87.603942)"
16-23-227-043-0000,1558,S,SPAULDING,AVE,"3,103",24,NORTH LAWNDALE,B3-2,Midwest,"1558 S SPAULDING AVE
CHICAGO, IL
(41.859183, -87.70788)"
20-05-200-105-0000,4512,S,HALSTED,ST,"58,392",11,NEW CITY,PMD 8,Stockyards Southeast Quadrant,"4512 S HALSTED ST
CHICAGO, IL
(41.811739, -87.645653)"
14-18-402-057-0000,4229,N,HONORE,ST,"29,695",47,NORTH CENTER,M1-2,Ravenswood Corridor,"4229 N HONORE ST
CHICAGO, IL
(41.958803, -87.675141)"
26-05-113-031-0000,9142,S,MACKINAW,,"3,529",10,SOUTH CHICAGO,RM-5,South Chicago,"9142 S MACKINAW
CHICAGO, IL
(41.729107, -87.542947)"
26-06-112-043-0000,8846,S,SAGINAW,AVE,"3,395",7,SOUTH CHICAGO,RT-4,NOT IN TIF,"8846 S SAGINAW AVE
CHICAGO, IL
(41.733706, -87.559608)"
16-13-101-035-0000,3038,W,FIFTH,AVE,"1,924",28,EAST GARFIELD PARK,RT-4,Midwest,"3038 W FIFTH AVE
CHICAGO, IL
(41.879332, -87.702601)"
20-20-415-022-0000,6851,S,GREEN,ST,"3,148",6,ENGLEWOOD,RS-3,67th/Wentworth,"6851 S GREEN ST
CHICAGO, IL
(41.769717, -87.64575)"
20-07-412-012-0000,5229,S,WOOD,ST,"3,140",16,NEW CITY,RS-3,NOT IN TIF,"5229 S WOOD ST
CHICAGO, IL
(41.798571, -87.669556)"
20-17-429-025-0000,6212,S,PEORIA,DR,"3,149",16,ENGLEWOOD,PD 1227,Englewood Neighborhood,"6212 S PEORIA DR
CHICAGO, IL
(41.780846, -87.647255)"
20-10-314-017-0000,5414,S,PRAIRIE,AVE,"4,067",3,WASHINGTON PARK,RM-5,47th/State,"5414 S PRAIRIE AVE
CHICAGO, IL
(41.79606, -87.619223)"
16-11-110-030-0000,3938,W,OHIO,ST,"1,237",37,HUMBOLDT PARK,RS-3,Chicago/Central Park,"3938 W OHIO ST
CHICAGO, IL
(41.891721, -87.725013)"
16-23-321-031-0000,1930,S,RIDGEWAY,AVE,"2,918",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1930 S RIDGEWAY AVE
CHICAGO, IL
(41.854099, -87.718757)"
16-14-201-003-0000,3449,W,MADISON,ST,"4,814",28,EAST GARFIELD PARK,C1-3,Midwest,"3449 W MADISON ST
CHICAGO, IL
(41.880907, -87.712972)"
20-17-403-006-0000,1007,W,59TH,ST,"3,164",16,ENGLEWOOD,B3-1,Englewood Neighborhood,"1007 W 59TH ST
CHICAGO, IL
(41.786975, -87.65021)"
25-17-303-021-0000,10742,S,LOOMIS,ST,"4,987",34,MORGAN PARK,RS-3,119th & I-57 Redevelopment,"10742 S LOOMIS ST
CHICAGO, IL
(41.698446, -87.657106)"
17-35-104-004-0000,3833,S,LAKE PARK,AVE,"5,279",4,OAKLAND,RM-5,Madden/Wells,"3833 S LAKE PARK AVE
CHICAGO, IL
(41.826209, -87.604633)"
20-18-214-003-0000,5605,S,PAULINA,ST,"3,742",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5605 S PAULINA ST
CHICAGO, IL
(41.792019, -87.666935)"
20-28-321-010-0000,7829,S,HALSTED,ST,"4,978",17,AUBURN GRESHAM,B1-3,79th Street Corridor,"7829 S HALSTED ST
CHICAGO, IL
(41.751474, -87.644081)"
20-17-431-024-0000,6226,S,HALSTED,ST,"9,285",16,ENGLEWOOD,PD 1227,Englewood Mall,"6226 S HALSTED ST
CHICAGO, IL
(41.780669, -87.644881)"
16-10-409-028-0000,4214,W,MAYPOLE,AVE,"3,794",28,WEST GARFIELD PARK,RT-4,NOT IN TIF,"4214 W MAYPOLE AVE
CHICAGO, IL
(41.884621, -87.73102)"
25-27-108-009-0000,11900,S,COTTAGE GROVE,AVE,"188,827",9,RIVERDALE,M3-3,Lake Calumet Ind. Corridor,"11900 S COTTAGE GROVE AVE
CHICAGO, IL
(41.670485, -87.602898)"
20-19-313-015-0000,6815,S,BELL,AVE,"12,497",16,CHICAGO LAWN,M1-1,NOT IN TIF,"6815 S BELL AVE
CHICAGO, IL
(41.769663, -87.679626)"
16-15-313-044-0000,4644,W,FIFTH,AVE,"1,515",24,AUSTIN,M1-2,Roosevelt-Cicero Ind. Corridor,"4644 W FIFTH AVE
CHICAGO, IL
(41.868801, -87.741567)"
16-23-215-028-0000,1444,S,ST LOUIS,AVE,"4,099",24,NORTH LAWNDALE,RT-4,Midwest,"1444 S ST LOUIS AVE
CHICAGO, IL
(41.861018, -87.712833)"
25-34-403-041-0000,660,E,134TH,PL,"5,220",9,RIVERDALE,RS-2,NOT IN TIF,"660 E 134TH PL
CHICAGO, IL
(41.650923, -87.605226)"
20-35-123-018-0000,8220,S,ELLIS,AVE,"4,983",8,CHATHAM,RT-4,NOT IN TIF,"8220 S ELLIS AVE
CHICAGO, IL
(41.745148, -87.600172)"
20-15-300-009-0000,5941,S,STATE,ST,"3,731",20,WASHINGTON PARK,B1-2,Washington Park,"5941 S STATE ST
CHICAGO, IL
(41.786433, -87.625505)"
16-24-303-027-0000,1916,S,TROY,ST,"3,103",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1916 S TROY ST
CHICAGO, IL
(41.854829, -87.704117)"
25-16-206-063-0000,214,W,104TH,PL,"5,493",34,ROSELAND,RS-2,NOT IN TIF,"214 W 104TH PL
CHICAGO, IL
(41.704352, -87.629162)"
20-22-220-008-0000,6523,S,ST LAWRENCE,AVE,"2,923",20,WOODLAWN,RT-4,West Woodlawn,"6523 S ST LAWRENCE AVE
CHICAGO, IL
(41.775942, -87.610704)"
20-20-326-041-0000,1440,W,71ST,ST,"3,110",17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"1440 W 71ST ST
CHICAGO, IL
(41.764963, -87.660581)"
20-08-414-089-0000,5260,S,HALSTED,ST,"4,152",20,NEW CITY,C1-2,47th/Halsted,"5260 S HALSTED ST
CHICAGO, IL
(41.798121, -87.645242)"
20-35-117-027-0000,8148,S,ELLIS,AVE,"4,820",8,CHATHAM,RT-4,NOT IN TIF,"8148 S ELLIS AVE
CHICAGO, IL
(41.746775, -87.600195)"
25-22-112-030-0000,11310,S,EDBROOKE,AVE,"4,147",9,ROSELAND,RS-3,NOT IN TIF,"11310 S EDBROOKE AVE
CHICAGO, IL
(41.688529, -87.619525)"
20-16-206-043-0000,5647,S,PERRY,AVE,"2,458",3,WASHINGTON PARK,RS-3,Washington Park,"5647 S PERRY AVE
CHICAGO, IL
(41.791406, -87.627734)"
20-15-116-022-0000,5740,S,PRAIRIE,AVE,"8,150",20,WASHINGTON PARK,RM-5,Washington Park,"5740 S PRAIRIE AVE
CHICAGO, IL
(41.789918, -87.619086)"
20-08-106-021-0000,4757,S,THROOP,ST,"2,955",20,NEW CITY,RS-3,NOT IN TIF,"4757 S THROOP ST
CHICAGO, IL
(41.807089, -87.657617)"
20-03-209-056-0000,4008,S,VINCENNES,AVE,"3,238",3,GRAND BOULEVARD,RT-4,41st/King,"4008 S VINCENNES AVE
CHICAGO, IL
(41.820811, -87.61329)"
20-03-118-027-0000,4244,S,WABASH,AVE,"4,019",3,GRAND BOULEVARD,RM-5,47th/King,"4244 S WABASH AVE
CHICAGO, IL
(41.817011, -87.624655)"
20-08-301-030-0000,5116,S,LAFLIN,ST,"2,988",20,NEW CITY,RS-3,NOT IN TIF,"5116 S LAFLIN ST
CHICAGO, IL
(41.800869, -87.66232)"
16-23-104-004-0000,1213,S,INDEPENDENCE,BLVD,"8,627",24,NORTH LAWNDALE,B3-2,Midwest,"1213 S INDEPENDENCE BLVD
CHICAGO, IL
(41.865716, -87.719486)"
20-18-225-024-0000,5836,S,WOLCOTT,AVE,"3,103",15,WEST ENGLEWOOD,M1-1,63rd/Ashland,"5836 S WOLCOTT AVE
CHICAGO, IL
(41.78731, -87.671674)"
16-10-405-016-0000,4221,W,CARROLL,AVE,"3,319",28,WEST GARFIELD PARK,RS-3,Northwest Industrial Corridor,"4221 W CARROLL AVE
CHICAGO, IL
(41.886946, -87.731626)"
20-21-307-025-0000,6828,S,UNION,AVE,"6,111",6,ENGLEWOOD,RT-4,67th/Wentworth,"6828 S UNION AVE
CHICAGO, IL
(41.769799, -87.64171)"
20-08-415-024-0000,5302,S,MAY,ST,"3,172",20,NEW CITY,RS-3,NOT IN TIF,"5302 S MAY ST
CHICAGO, IL
(41.797657, -87.653715)"
20-21-124-014-0000,709,W,66TH,PL,"3,147",6,ENGLEWOOD,RT-4,Englewood Neighborhood,"709 W 66TH PL
CHICAGO, IL
(41.773409, -87.643273)"
20-17-419-001-0000,6101,S,CARPENTER,ST,"6,052",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"6101 S CARPENTER ST
CHICAGO, IL
(41.78332, -87.650968)"
20-22-403-001-0000,6705,S,ST LAWRENCE,AVE,"6,019",20,WOODLAWN,B3-2,West Woodlawn,"6705 S ST LAWRENCE AVE
CHICAGO, IL
(41.772972, -87.610623)"
17-20-103-009-0000,1237,W,ROOSEVELT,RD,"2,050",25,NEAR WEST SIDE,PD 896,Roosevelt/Racine (ABLA),"1237 W ROOSEVELT RD
CHICAGO, IL
(41.866953, -87.658133)"
20-10-301-047-0000,5160,S,MICHIGAN,AVE,"7,999",3,WASHINGTON PARK,RM-5,47th/State,"5160 S MICHIGAN AVE
CHICAGO, IL
(41.800188, -87.622609)"
20-16-101-015-0000,5537,S,EMERALD,AVE,"6,284",20,ENGLEWOOD,RS-3,NOT IN TIF,"5537 S EMERALD AVE
CHICAGO, IL
(41.793436, -87.643892)"
20-08-426-034-0000,1000,W,55TH,ST,"10,507",20,NEW CITY,RS-3,47th/Halsted,"1000 W 55TH ST
CHICAGO, IL
(41.794275, -87.650223)"
20-20-423-016-0000,6955,S,GREEN,ST,"6,887",6,ENGLEWOOD,RT-4,67th/Wentworth,"6955 S GREEN ST
CHICAGO, IL
(41.767818, -87.645707)"
16-09-206-026-0000,4948,W,HURON,ST,"3,014",37,AUSTIN,RS-3,NOT IN TIF,"4948 W HURON ST
CHICAGO, IL
(41.893141, -87.750024)"
17-30-120-026-0000,2588,S,BLUE ISLAND,AVE,"2,490",25,LOWER WEST SIDE,C1-3,Pilsen Industrial Corridor,"2588 S BLUE ISLAND AVE
CHICAGO, IL
(41.845091, -87.684775)"
20-17-120-036-0000,5728,S,ADA,ST,"3,119",16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5728 S ADA ST
CHICAGO, IL
(41.789666, -87.658384)"
20-08-419-005-0000,5311,S,MORGAN,ST,"3,030",20,NEW CITY,RS-3,NOT IN TIF,"5311 S MORGAN ST
CHICAGO, IL
(41.797399, -87.650086)"
20-22-211-020-0000,6420,S,ST LAWRENCE,AVE,"3,054",20,WOODLAWN,RT-4,West Woodlawn,"6420 S ST LAWRENCE AVE
CHICAGO, IL
(41.77783, -87.610737)"
20-16-102-029-0000,5603,S,UNION,AVE,"3,399",20,ENGLEWOOD,RS-3,NOT IN TIF,"5603 S UNION AVE
CHICAGO, IL
(41.792451, -87.642669)"
16-11-307-004-0000,3943,W,MAYPOLE,AVE,"15,972",28,WEST GARFIELD PARK,B3-2,Northwest Industrial Corridor,"3943 W MAYPOLE AVE
CHICAGO, IL
(41.884038, -87.725075)"
16-23-100-005-0000,3947,W,ROOSEVELT,RD,"2,780",24,NORTH LAWNDALE,B3-2,Midwest,"3947 W ROOSEVELT RD
CHICAGO, IL
(41.866186, -87.724517)"
20-17-431-016-0000,814,W,63RD,ST,"3,121",16,ENGLEWOOD,PD 1227,Englewood Mall,"814 W 63RD ST
CHICAGO, IL
(41.779767, -87.645385)"
16-11-114-022-0000,654,N,RIDGEWAY,AVE,"3,035",27,HUMBOLDT PARK,RT-4,Chicago/Central Park,"654 N RIDGEWAY AVE
CHICAGO, IL
(41.893368, -87.719922)"
20-20-107-001-0000,1225,W,63RD,ST,"3,100",16,WEST ENGLEWOOD,C1-2,Englewood Neighborhood,"1225 W 63RD ST
CHICAGO, IL
(41.779603, -87.655463)"
25-27-200-009-0000,12256,S,COTTAGE GROVE,AVE,"404,555",9,RIVERDALE,M3-3,Lake Calumet Ind. Corridor,"12256 S COTTAGE GROVE AVE
CHICAGO, IL
(41.670077, -87.60361)"
20-17-328-037-0000,1414,W,63RD,ST,"7,550",16,WEST ENGLEWOOD,PD 911,63rd/Ashland,"1414 W 63RD ST
CHICAGO, IL
(41.779543, -87.660093)"
20-17-405-046-0000,5958,S,PEORIA,ST,"3,162",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5958 S PEORIA ST
CHICAGO, IL
(41.785298, -87.64736)"
20-09-219-026-0000,5004,S,WELLS,ST,"1,793",3,FULLER PARK,B1-1,47th/Halsted,"5004 S WELLS ST
CHICAGO, IL
(41.803384, -87.63221)"
16-13-311-026-0000,2838,W,POLK,ST,"3,043",28,EAST GARFIELD PARK,RT-4,Midwest,"2838 W POLK ST
CHICAGO, IL
(41.871073, -87.697534)"
20-16-200-053-0000,361,W,GARFIELD,BLVD,"4,566",3,ENGLEWOOD,RS-3,NOT IN TIF,"361 W GARFIELD BLVD
CHICAGO, IL
(41.794159, -87.635223)"
20-18-430-007-0000,6231,S,PAULINA,ST,"3,115",15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6231 S PAULINA ST
CHICAGO, IL
(41.780155, -87.666633)"
20-17-209-043-0000,5650,S,ABERDEEN,ST,"3,108",16,ENGLEWOOD,RS-3,Englewood Neighborhood,"5650 S ABERDEEN ST
CHICAGO, IL
(41.790923, -87.652368)"
20-21-106-024-0000,6338,S,EGGLESTON,AVE,"6,252",20,ENGLEWOOD,RT-4,Englewood Neighborhood,"6338 S EGGLESTON AVE
CHICAGO, IL
(41.778597, -87.63627)"
20-08-313-034-0000,5326,S,LAFLIN,ST,"3,113",20,NEW CITY,RS-3,NOT IN TIF,"5326 S LAFLIN ST
CHICAGO, IL
(41.796902, -87.662231)"
26-05-105-046-0000,3324,E,90,ST,"2,321",10,SOUTH CHICAGO,RS-2,South Chicago,"3324 E 90 ST
CHICAGO, IL
(41.732015, -87.543402)"
20-32-323-002-0000,8607,S,ASHLAND,AVE,"5,318",21,AUBURN GRESHAM,B1-1,NOT IN TIF,"8607 S ASHLAND AVE
CHICAGO, IL
(41.737304, -87.663041)"
16-23-212-011-0000,1327,S,SPAULDING,,"3,119",24,NORTH LAWNDALE,RT-4,Midwest,"1327 S SPAULDING
CHICAGO, IL
(41.864112, -87.708026)"
16-24-304-021-0000,1904,S,ALBANY,AVE,"5,446",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,"1904 S ALBANY AVE
CHICAGO, IL
(41.855132, -87.702877)"
21-30-311-006-0000,7611,S,COLFAX,AVE,"8,389",7,SOUTH SHORE,RT-4,NOT IN TIF,"7611 S COLFAX AVE
CHICAGO, IL
(41.756991, -87.561485)"
20-25-329-034-0000,1844,E,79TH,ST,"5,001",8,SOUTH SHORE,B3-2,Avalon Park/South Shore,"1844 E 79TH ST
CHICAGO, IL
(41.75157, -87.579019)"
26-05-107-040-0000,8946,S,AVENUE O,AVE,"3,007",10,SOUTH CHICAGO,RS-2,South Chicago,"8946 S AVENUE O AVE
CHICAGO, IL
(41.732725, -87.540285)"
17-35-101-005-0000,3709,S,ELLIS,AVE,"2,077",4,OAKLAND,RM-5,Madden/Wells,"3709 S ELLIS AVE
CHICAGO, IL
(41.827831, -87.607353)"
16-13-107-044-0000,3116,W,FIFTH,AVE,"1,616",28,EAST GARFIELD PARK,C1-3,Midwest,"3116 W FIFTH AVE
CHICAGO, IL
(41.878836, -87.704373)"
20-21-127-035-0000,508,W,66TH,PL,"1,322",6,ENGLEWOOD,RT-4,Englewood Neighborhood,"508 W 66TH PL
CHICAGO, IL
(41.773496, -87.63753)"
20-07-402-027-0000,5157,S,WOLCOTT,AVE,"3,762",16,NEW CITY,RS-3,NOT IN TIF,"5157 S WOLCOTT AVE
CHICAGO, IL
(41.799612, -87.672041)"
20-14-317-015-0000,1116,E,63RD,ST,"7,718",20,WOODLAWN,PD723/RM-5,Woodlawn,"1116 E 63RD ST
CHICAGO, IL
(41.780482, -87.598775)"
20-23-105-009-0000,6341,S,INGLESIDE,AVE,"6,225",20,WOODLAWN,RT-4,Woodlawn,"6341 S INGLESIDE AVE
CHICAGO, IL
(41.779674, -87.601654)"
20-22-215-025-0000,6440,S,COTTAGE GROVE,AVE,"6,113",20,WOODLAWN,B3-3,Woodlawn,"6440 S COTTAGE GROVE AVE
CHICAGO, IL
(41.777336, -87.605869)"
20-09-408-004-0000,319,W,52ND,ST,"2,975",3,FULLER PARK,RS-3,47th/Halsted,"319 W 52ND ST
CHICAGO, IL
(41.799997, -87.633833)"
20-11-216-001-0000,4707,S,LAKE PARK,AVE,"10,908",4,KENWOOD,B3-3,NOT IN TIF,"4707 S LAKE PARK AVE
CHICAGO, IL
(41.809213, -87.591824)"
16-13-326-012-0000,1131,S,ALBANY,AVE,"3,142",28,NORTH LAWNDALE,RT-4,Midwest,"1131 S ALBANY AVE
CHICAGO, IL
(41.867337, -87.703243)"
16-14-221-001-0000,339,S,HOMAN,AVE,"12,159",28,EAST GARFIELD PARK,RM-5,Midwest,"339 S HOMAN AVE
CHICAGO, IL
(41.875961, -87.710853)"
20-08-129-039-0000,1320,W,51ST,ST,"3,101",20,NEW CITY,B3-2,NOT IN TIF,"1320 W 51ST ST
CHICAGO, IL
(41.801428, -87.658367)"
20-20-416-026-0000,6930,S,MAY,ST,"3,106",6,ENGLEWOOD,RS-3,NOT IN TIF,"6930 S MAY ST
CHICAGO, IL
(41.767689, -87.65296)"
20-18-412-024-0000,6014,S,HERMITAGE,AVE,"3,106",15,WEST ENGLEWOOD,RS-3,63rd/Ashland,"6014 S HERMITAGE AVE
CHICAGO, IL
(41.784439, -87.667984)"
20-15-111-004-0000,5617,S,PRAIRIE,AVE,"8,105",20,WASHINGTON PARK,RM-5,Washington Park,"5617 S PRAIRIE AVE
CHICAGO, IL
(41.79268, -87.619163)"
25-19-206-008-0000,1636,W,MONTEREY,AVE,"3,764",34,MORGAN PARK,RT-4,119th & I-57 Redevelopment,"1636 W MONTEREY AVE
CHICAGO, IL
(41.689622, -87.663268)"
16-23-224-039-0000,1552,S,TRUMBULL,AVE,"6,008",24,NORTH LAWNDALE,RT-4,Midwest,"1552 S TRUMBULL AVE
CHICAGO, IL
(41.859876, -87.71159)"
16-15-214-004-0000,4149,W,ADAMS,ST,"3,045",28,WEST GARFIELD PARK,RT-4,NOT IN TIF,"4149 W ADAMS ST
CHICAGO, IL
(41.877941, -87.729969)"
20-08-428-018-0000,815,W,54,ST,"3,179",20,NEW CITY,RS-3,47th/Halsted,"815 W 54 ST
CHICAGO, IL
(41.796055, -87.645899)"
